Brand_Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price (INR Lakhs),Brand,Model,Car_Age
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2013,46000,Diesel,Automatic,First,12.0,2987.0,224.0,7.0,3600000.0,Mercedes-Benz,GL-Class 2007 2012 350 CDI Luxury,12
Toyota Innova 2.5 G (Diesel) 7 Seater,Coimbatore,2013,80544,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1179000.0,Toyota,Innova 2.5 G (Diesel) 7 Seater,12
Nissan Sunny 2011-2014 XL,Jaipur,2011,42000,Petrol,Manual,Second,16.95,1498.0,97.7,5.0,300000.0,Nissan,Sunny 2011-2014 XL,14
Skoda Laura Ambiente 2.0 TDI CR AT,Bangalore,2011,94821,Diesel,Automatic,Second,20.0,1968.0,138.1,5.0,675000.0,Skoda,Laura Ambiente 2.0 TDI CR AT,14
Chevrolet Aveo 1.4 LS,Jaipur,2006,100000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,140000.0,Chevrolet,Aveo 1.4 LS,19
Honda Mobilio V i DTEC,Mumbai,2014,57000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,575000.0,Honda,Mobilio V i DTEC,11
Maruti Ritz VDi,Hyderabad,2010,79894,Diesel,Manual,First,21.1,1248.0,73.9,5.0,340000.0,Maruti,Ritz VDi,15
Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2011,44748,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,488999.99999999994,Volkswagen,Polo Petrol Highline 1.2L,14
Nissan Terrano XL,Mumbai,2013,31000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,495000.0,Nissan,Terrano XL,12
Maruti A-Star AT Vxi Aktiv,Coimbatore,2013,60587,Petrol,Automatic,Second,16.98,998.0,66.1,5.0,349000.0,Maruti,A-Star AT Vxi Aktiv,12
Toyota Etios Liva GD,Pune,2011,32000,Diesel,Manual,First,23.59,1364.0,97.7,5.0,385000.0,Toyota,Etios Liva GD,14
Honda City 1.5 S MT,Pune,2014,43772,Petrol,Manual,First,17.0,1497.0,118.0,5.0,635000.0,Honda,City 1.5 S MT,11
Hyundai Grand i10 AT Asta,Coimbatore,2017,23576,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,708000.0,Hyundai,Grand i10 AT Asta,8
Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,3800000.0,Jaguar,XE 2.0L Diesel Prestige,8
Mahindra Scorpio VLX,Kolkata,2012,62000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,625000.0,Mahindra,Scorpio VLX,13
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Mumbai,2011,36000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,1015000.0,Mercedes-Benz,New C-Class C 200 Kompressor Elegance AT,14
Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,80000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,1075000.0,Skoda,Superb Elegance 1.8 TSI AT,11
Chevrolet Cruze LTZ AT,Pune,2012,137008,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,465000.00000000006,Chevrolet,Cruze LTZ AT,13
Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05,2179.0,120.0,8.0,475000.0,Mahindra,Scorpio VLX,15
Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2015,52191,Petrol,Manual,First,17.1,1591.0,121.3,5.0,778000.0,Hyundai,Verna 1.6 SX VTVT (O),10
Hyundai i20 1.4 Asta CRDi with AVN,Hyderabad,2016,77076,Diesel,Manual,First,23.0,1396.0,90.0,5.0,675000.0,Hyundai,i20 1.4 Asta CRDi with AVN,9
Honda City ZX CVT,Hyderabad,2008,56000,Petrol,Automatic,First,16.4,1497.0,78.0,5.0,299000.0,Honda,City ZX CVT,17
Hyundai i10 Magna,Kolkata,2013,21000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,235000.0,Hyundai,i10 Magna,12
Honda Amaze S i-Dtech,Delhi,2013,89429,Diesel,Manual,First,25.8,1498.0,98.6,5.0,365000.0,Honda,Amaze S i-Dtech,12
Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5,998.0,67.04,5.0,274000.0,Maruti,Wagon R LXI,13
Honda Brio S MT,Jaipur,2013,53959,Petrol,Manual,First,19.4,1198.0,86.8,5.0,350000.0,Honda,Brio S MT,12
Hyundai i20 1.2 Sportz Option,Kochi,2014,55804,Petrol,Manual,First,17.0,1197.0,80.0,5.0,476000.0,Hyundai,i20 1.2 Sportz Option,11
Volkswagen Vento 2013-2015 1.6 Comfortline,Kochi,2016,25899,Petrol,Manual,First,15.04,1598.0,103.2,5.0,620000.0,Volkswagen,Vento 2013-2015 1.6 Comfortline,9
Skoda Octavia Rider 1.9 TDI MT,Pune,2008,82000,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,235000.0,Skoda,Octavia Rider 1.9 TDI MT,17
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2014,52000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,2450000.0,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde,11
Renault Duster Petrol RxL,Pune,2013,20000,Petrol,Manual,First,13.24,1598.0,102.57,5.0,600000.0,Renault,Duster Petrol RxL,12
Hyundai EON Sportz,Hyderabad,2017,31829,Petrol,Manual,First,21.1,814.0,55.2,5.0,365000.0,Hyundai,EON Sportz,8
Maruti Swift VXI,Coimbatore,2016,18094,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,626000.0,Maruti,Swift VXI,9
Nissan Micra Diesel,Jaipur,2011,80000,Diesel,Manual,Second,19.5,1461.0,97.7,5.0,210000.0,Nissan,Micra Diesel,14
Audi Q5 3.0 TDI Quattro Technology,Mumbai,2015,11964,Diesel,Automatic,First,13.22,2967.0,241.4,5.0,3295000.0000000005,Audi,Q5 3.0 TDI Quattro Technology,10
Hyundai i20 1.2 Spotz,Coimbatore,2018,22684,Petrol,Manual,First,18.6,1197.0,81.83,5.0,780000.0,Hyundai,i20 1.2 Spotz,7
Honda Brio S MT,Bangalore,2014,43521,Petrol,Manual,First,19.4,1198.0,86.8,5.0,425000.0,Honda,Brio S MT,11
Maruti Swift Dzire ZXi,Kochi,2014,49386,Petrol,Manual,First,17.5,1298.0,85.8,5.0,486000.00000000006,Maruti,Swift Dzire ZXi,11
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,18.9,1197.0,81.86,5.0,490000.00000000006,Hyundai,Grand i10 1.2 Kappa Magna,8
Mahindra Xylo E8 ABS BS IV,Coimbatore,2014,67771,Diesel,Manual,First,11.68,2498.0,112.0,8.0,706000.0,Mahindra,Xylo E8 ABS BS IV,11
Volkswagen Polo GTI,Delhi,2015,60007,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,450000.0,Volkswagen,Polo GTI,10
Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07,998.0,67.1,5.0,322000.0,Maruti,Alto K10 VXI,14
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2014,30000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,325000.0,Volkswagen,Polo Diesel Comfortline 1.2L,11
Hyundai Grand i10 Sportz,Delhi,2016,81605,Petrol,Manual,First,18.9,1197.0,82.0,5.0,453000.0,Hyundai,Grand i10 Sportz,9
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,2017,32642,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,3478000.0,Mercedes-Benz,New C-Class C 220 CDI Elegance AT,8
Hyundai Verna 1.6 SX VTVT AT,Pune,2014,34200,Petrol,Automatic,First,15.74,1591.0,121.3,5.0,650000.0,Hyundai,Verna 1.6 SX VTVT AT,11
Fiat Punto EVO 1.2 Emotion,Chennai,2010,72204,Petrol,Manual,First,15.7,1172.0,67.0,5.0,225000.0,Fiat,Punto EVO 1.2 Emotion,15
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2011,156347,Diesel,Manual,Second,12.99,2494.0,100.0,8.0,800000.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,14
Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,Kochi,2017,47357,Diesel,Automatic,First,18.49,1493.0,100.0,7.0,836999.9999999999,Mahindra,TUV 300 2015-2019 mHAWK100 T8 AMT,8
Volkswagen Polo 1.5 TDI Comfortline,Coimbatore,2015,61738,Diesel,Manual,First,20.14,1498.0,88.8,5.0,539000.0,Volkswagen,Polo 1.5 TDI Comfortline,10
BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,3729999.9999999995,BMW,5 Series 520d Luxury Line,7
Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,7080000.0,Mercedes-Benz,GLE 350d,7
Mercedes-Benz M-Class ML 350 CDI,Mumbai,2012,51000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,2225000.0,Mercedes-Benz,M-Class ML 350 CDI,13
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,Petrol,Manual,First,18.9,1197.0,81.86,5.0,603000.0,Hyundai,Grand i10 1.2 Kappa Sportz,7
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2011,46000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,490000.00000000006,Skoda,Superb Elegance 1.8 TSI AT,14
Hyundai i10 Sportz AT,Chennai,2013,21000,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,396000.0,Hyundai,i10 Sportz AT,12
Hyundai i20 1.4 CRDi Asta,Hyderabad,2011,113562,Diesel,Manual,First,23.0,1396.0,90.0,5.0,459999.99999999994,Hyundai,i20 1.4 CRDi Asta,14
Mahindra Scorpio VLX,Mumbai,2011,100010,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,550000.0,Mahindra,Scorpio VLX,14
Honda Brio V MT,Mumbai,2013,63107,Petrol,Manual,First,19.4,1198.0,86.8,5.0,325000.0,Honda,Brio V MT,12
Hyundai i20 1.2 Magna Executive,Jaipur,2017,58500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,625000.0,Hyundai,i20 1.2 Magna Executive,8
Ford Endeavour 4x2 XLT Limited Edition,Pune,2007,90000,Diesel,Manual,Fourth & Above,10.9,2499.0,143.0,7.0,300000.0,Ford,Endeavour 4x2 XLT Limited Edition,18
Hyundai Verna CRDi SX,Chennai,2011,108242,Diesel,Manual,First,16.8,1493.0,110.0,5.0,425000.0,Hyundai,Verna CRDi SX,14
Toyota Fortuner 3.0 Diesel,Pune,2011,146300,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1225000.0,Toyota,Fortuner 3.0 Diesel,14
BMW X1 sDrive20d,Pune,2011,62943,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,1095000.0,BMW,X1 sDrive20d,14
Toyota Fortuner 4x2 AT,Delhi,2013,65000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,1650000.0,Toyota,Fortuner 4x2 AT,12
Honda Amaze V CVT Petrol,Pune,2018,1700,Petrol,Automatic,First,19.0,1199.0,88.76,5.0,780000.0,Honda,Amaze V CVT Petrol,7
Hyundai i10 Era 1.1,Kochi,2013,34697,Petrol,Manual,First,19.81,1086.0,68.05,5.0,370000.0,Hyundai,i10 Era 1.1,12
Hyundai i20 1.2 Sportz,Hyderabad,2012,58000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,400000.0,Hyundai,i20 1.2 Sportz,13
BMW 3 Series 320d GT Luxury Line,Mumbai,2015,32500,Diesel,Automatic,First,19.59,1995.0,187.74,5.0,2675000.0,BMW,3 Series 320d GT Luxury Line,10
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,2803000.0,Audi,Q3 35 TDI Quattro Premium Plus,9
Maruti Swift VXI Optional,Kochi,2017,37124,Petrol,Manual,First,20.4,1197.0,81.8,5.0,544000.0,Maruti,Swift VXI Optional,8
Maruti Baleno Delta Automatic,Delhi,2017,44000,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,620000.0,Maruti,Baleno Delta Automatic,8
Hyundai Accent GLE,Kolkata,2005,45200,Petrol,Manual,First,13.2,1495.0,94.0,5.0,90000.0,Hyundai,Accent GLE,20
Maruti Ritz LXi,Mumbai,2016,11000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,395000.0,Maruti,Ritz LXi,9
Tata Nano Lx,Pune,2011,65000,Petrol,Manual,Second,26.0,624.0,35.0,4.0,44000.0,Tata,Nano Lx,14
Ford Figo Diesel EXI,Ahmedabad,2012,55005,Diesel,Manual,First,20.0,1399.0,68.0,5.0,275000.0,Ford,Figo Diesel EXI,13
Volkswagen Passat Diesel Highline 2.0 TDI,Hyderabad,2011,81650,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,750000.0,Volkswagen,Passat Diesel Highline 2.0 TDI,14
Fiat Linea Emotion Pack (Diesel),Chennai,2010,160000,Diesel,Manual,Second,19.0,1248.0,93.0,5.0,250000.0,Fiat,Linea Emotion Pack (Diesel),15
Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489.0,93.7,7.0,500000.0,Mahindra,Xylo D4,10
Maruti Wagon R VXI,Hyderabad,2013,67263,Petrol,Manual,First,18.9,998.0,67.1,5.0,360000.0,Maruti,Wagon R VXI,12
Toyota Etios G Safety,Kochi,2012,44223,Petrol,Manual,First,17.6,1496.0,88.7,5.0,399000.0,Toyota,Etios G Safety,13
Hyundai Grand i10 Sportz,Coimbatore,2015,36840,Petrol,Manual,First,18.9,1197.0,82.0,5.0,564000.0,Hyundai,Grand i10 Sportz,10
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2014,160000,Diesel,Manual,First,12.99,2494.0,100.0,8.0,1200000.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,11
Tata Indica V2 DLS TC,Kolkata,2008,133000,Diesel,Manual,First,16.8,1405.0,62.0,5.0,70000.0,Tata,Indica V2 DLS TC,17
BMW 3 Series 320d Sport Line,Mumbai,2015,69123,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,1900000.0,BMW,3 Series 320d Sport Line,10
Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2017,38000,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,3048000.0,Ford,Endeavour 3.2 Titanium AT 4X4,8
Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56,1462.0,103.25,5.0,819999.9999999999,Maruti,Ciaz Zeta,8
Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,1001,Diesel,Manual,First,25.83,1498.0,99.0,5.0,755000.0,Ford,Figo 1.5D Titanium Plus MT,10
Chevrolet Aveo U-VA 1.2 LS,Pune,2007,59000,Petrol,Manual,Third,15.26,1150.0,74.9,5.0,99000.0,Chevrolet,Aveo U-VA 1.2 LS,18
Honda City 1.5 V AT,Delhi,2011,78256,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,415000.00000000006,Honda,City 1.5 V AT,14
Nissan Sunny XL,Chennai,2016,90000,Petrol,Manual,First,16.95,1498.0,97.6,5.0,620000.0,Nissan,Sunny XL,9
Maruti Swift Dzire VXI,Kolkata,2016,18000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,440000.00000000006,Maruti,Swift Dzire VXI,9
Ford Figo Diesel Titanium,Kolkata,2012,60000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,210000.0,Ford,Figo Diesel Titanium,13
Fiat Grande Punto 1.3 Emotion (Diesel),Jaipur,2011,130000,Diesel,Manual,First,20.3,1248.0,75.0,5.0,220000.00000000003,Fiat,Grande Punto 1.3 Emotion (Diesel),14
Hyundai Elite i20 Petrol Asta,Coimbatore,2018,32851,Petrol,Manual,First,18.6,1197.0,81.86,5.0,834000.0,Hyundai,Elite i20 Petrol Asta,7
Maruti Swift Dzire VDI,Kolkata,2014,32000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,434999.99999999994,Maruti,Swift Dzire VDI,11
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,62700,Diesel,Manual,First,22.7,1498.0,89.84,5.0,680000.0,Ford,Ecosport 1.5 DV5 MT Titanium,11
Maruti Swift Dzire VDi,Jaipur,2010,71000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,330000.0,Maruti,Swift Dzire VDi,15
Hyundai Grand i10 Sportz,Kochi,2016,19947,Petrol,Manual,First,18.9,1197.0,82.0,5.0,504000.0,Hyundai,Grand i10 Sportz,9
Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,91000,Diesel,Automatic,First,11.4,2953.0,153.86,7.0,919999.9999999999,Ford,Endeavour 3.0L 4X4 AT,13
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2014,74000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,570000.0,Volkswagen,Polo Diesel Highline 1.2L,11
Mahindra TUV 300 2015-2019 mHAWK100 T8,Kochi,2018,55594,Diesel,Manual,First,18.49,1493.0,100.0,7.0,848000.0,Mahindra,TUV 300 2015-2019 mHAWK100 T8,7
BMW X6 xDrive 40d,Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2993.0,306.0,4.0,4800000.0,BMW,X6 xDrive 40d,12
Renault Duster 110PS Diesel RxZ,Hyderabad,2012,110224,Diesel,Manual,First,19.01,1461.0,108.45,5.0,610000.0,Renault,Duster 110PS Diesel RxZ,13
Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998.0,67.04,5.0,275000.0,Maruti,Wagon R LXI,15
Maruti Ertiga SHVS VDI,Pune,2017,121000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,800000.0,Maruti,Ertiga SHVS VDI,8
Maruti Alto LXi BSIII,Jaipur,2010,73513,Petrol,Manual,First,19.7,796.0,46.3,5.0,185000.0,Maruti,Alto LXi BSIII,15
Maruti Wagon R AMT VXI Option,Jaipur,2015,34000,Petrol,Automatic,First,20.51,998.0,67.0,5.0,385000.0,Maruti,Wagon R AMT VXI Option,10
Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196.0,73.0,7.0,474000.0,Maruti,Eeco 7 Seater Standard,8
Renault Duster 110PS Diesel RxL,Kochi,2013,74755,Diesel,Manual,First,19.6,1461.0,108.45,5.0,563000.0,Renault,Duster 110PS Diesel RxL,12
Maruti Zen Estilo 1.1 LX BSIII,Kochi,2011,25805,Petrol,Manual,First,18.2,1061.0,64.0,5.0,262000.0,Maruti,Zen Estilo 1.1 LX BSIII,14
Renault Duster Petrol RxL,Kochi,2015,82603,Petrol,Manual,First,13.06,1598.0,102.53,5.0,490000.00000000006,Renault,Duster Petrol RxL,10
Honda Civic 2006-2010 1.8 S MT,Chennai,2006,110000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,265000.0,Honda,Civic 2006-2010 1.8 S MT,19
Mahindra XUV500 W8 2WD,Delhi,2012,88000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,599000.0,Mahindra,XUV500 W8 2WD,13
Mahindra Verito 1.5 D6 BSIV,Chennai,2011,110000,Diesel,Manual,Second,21.0,1461.0,64.1,5.0,240000.0,Mahindra,Verito 1.5 D6 BSIV,14
Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7,999.0,67.0,5.0,425000.0,Renault,KWID Climber 1.0 MT,8
Porsche Cayenne Diesel,Mumbai,2013,70000,Diesel,Automatic,First,15.15,2967.0,240.0,5.0,4000000.0,Porsche,Cayenne Diesel,12
Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,Second,28.4,1248.0,74.0,5.0,270000.0,Maruti,Swift DDiS VDI,17
Datsun GO T Option,Hyderabad,2016,19000,Petrol,Manual,First,20.63,1198.0,67.0,5.0,299000.0,Datsun,GO T Option,9
Hyundai i20 1.2 Magna,Chennai,2011,37442,Petrol,Manual,First,18.5,1197.0,80.0,5.0,340000.0,Hyundai,i20 1.2 Magna,14
BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,63111,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,3080000.0,BMW,5 Series 2013-2017 520d Luxury Line,9
Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,585000.0,Maruti,Ertiga ZDI,13
Hyundai Grand i10 Magna,Jaipur,2014,42355,Petrol,Manual,First,18.9,1197.0,82.0,5.0,400000.0,Hyundai,Grand i10 Magna,11
BMW 3 Series 330i,Coimbatore,2011,75871,Petrol,Automatic,First,9.43,2996.0,254.0,5.0,1412000.0,BMW,3 Series 330i,14
Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9,1998.0,163.7,5.0,455000.0,Chevrolet,Cruze LTZ,14
Mercedes-Benz M-Class ML 350 4Matic,Pune,2015,69000,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,3800000.0,Mercedes-Benz,M-Class ML 350 4Matic,10
Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,First,21.1,1248.0,73.9,5.0,290000.0,Maruti,Ritz LDi,14
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,220000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,600000.0,Mercedes-Benz,New C-Class C 200 Kompressor Elegance AT,18
Hyundai i20 1.2 Magna Executive,Kochi,2016,28470,Petrol,Manual,First,18.6,1197.0,81.83,5.0,695000.0,Hyundai,i20 1.2 Magna Executive,9
Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Petrol,Manual,First,20.3,998.0,68.05,5.0,275000.0,Hyundai,EON 1.0 Kappa Magna Plus Optional,11
Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9,1248.0,74.0,5.0,509999.99999999994,Maruti,Swift VDI,11
Hyundai i20 Sportz 1.2,Chennai,2017,8000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,675000.0,Hyundai,i20 Sportz 1.2,8
Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,First,18.5,1197.0,85.8,5.0,369000.0,Maruti,Ritz ZXi,11
Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,22.9,1248.0,74.0,5.0,545000.0,Maruti,Swift VDI,12
Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,First,17.5,1199.0,88.7,5.0,928999.9999999999,Honda,WRV i-VTEC VX,7
Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Petrol,Automatic,Second,16.9,1197.0,81.86,5.0,400000.0,Hyundai,Xcent 1.2 Kappa AT S Option,10
Honda Amaze E i-Vtech,Kolkata,2013,40000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,290000.0,Honda,Amaze E i-Vtech,12
Hyundai Verna 1.6 SX VTVT (O),Pune,2013,21107,Petrol,Manual,First,17.1,1591.0,121.3,5.0,525000.0,Hyundai,Verna 1.6 SX VTVT (O),12
Honda City V MT,Mumbai,2014,56000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,575000.0,Honda,City V MT,11
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,19623,Petrol,Manual,First,15.29,1591.0,121.3,5.0,1312000.0,Hyundai,Creta 1.6 SX Plus Dual Tone Petrol,8
Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,First,15.1,2179.0,140.0,7.0,783000.0,Mahindra,XUV500 W8 2WD,11
Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,First,26.6,998.0,58.16,5.0,315000.0,Maruti,Wagon R LXI CNG,12
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,51450,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1040000.0,Toyota,Innova 2.5 V Diesel 7-seater,12
Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,434999.99999999994,Maruti,Swift VDI,13
Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998.0,67.0,5.0,523000.00000000006,Maruti,Wagon R VXI AMT,8
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197.0,81.86,5.0,601000.0,Hyundai,Grand i10 1.2 Kappa Asta,9
Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1498.0,98.6,5.0,440000.00000000006,Honda,Amaze VX i-DTEC,11
BMW 3 Series 320d Highline,Chennai,2010,83000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,1275000.0,BMW,3 Series 320d Highline,15
Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,15.6,1196.0,70.0,5.0,240000.0,Ford,Figo Petrol Titanium,14
Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,First,17.0,1198.0,73.75,5.0,571000.0,Volkswagen,Ameo 1.2 MPI Trendline,7
Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,65925,Diesel,Manual,Second,22.7,1498.0,89.84,5.0,549000.0,Ford,Ecosport 1.5 DV5 MT Trend,10
Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,Second,13.0,1343.0,90.0,5.0,130000.0,Honda,City 1.3 EXI,21
Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,850000.0,Mahindra,XUV500 W6 2WD,11
Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1299000.0,Toyota,Fortuner 4x2 Manual,13
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197.0,81.86,5.0,500000.0,Hyundai,Grand i10 1.2 Kappa Magna,8
Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,900000.0,Maruti,Dzire AMT ZDI Plus,8
Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9,1248.0,74.0,5.0,522000.0,Maruti,Swift VDI,9
Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,First,16.47,1198.0,73.9,5.0,380000.0,Volkswagen,Polo Petrol Highline 1.2L,13
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197.0,78.9,5.0,727000.0,Toyota,Etios Liva 1.2 VX Dual Tone,6
Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197.0,81.8,5.0,509999.99999999994,Maruti,Swift VXI,9
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,2900000.0,Mercedes-Benz,E-Class 2009-2013 E250 CDI Elegance,12
Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,First,18.9,998.0,67.1,5.0,290000.0,Maruti,Wagon R VXI,12
Tata Nano Lx BSIV,Kochi,2012,4187,Petrol,Manual,First,26.0,624.0,35.0,4.0,138000.0,Tata,Nano Lx BSIV,13
Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,46000,Petrol,Manual,First,13.4,1798.0,157.8,5.0,550000.0,Skoda,Laura 1.8 TSI Ambiente,14
